Model,N seeds,CV C-index (mean±std),Test C-index (mean±std),Bootstrap 95% CI
BINN,10,0.6899 ± 0.0328,0.6710 ± 0.0573,"[0.5548, 0.7810]"
Gene MLP,10,0.6834 ± 0.0288,0.6482 ± 0.0667,"[0.5196, 0.7682]"
Clinical,10,0.6744 ± 0.0205,0.6374 ± 0.0473,"[0.5007, 0.7596]"
BINN + Gene,10,0.6895 ± 0.0280,0.6537 ± 0.0532,"[0.5305, 0.7662]"
BINN + Clinical,10,0.7019 ± 0.0329,0.6705 ± 0.0447,"[0.5488, 0.7848]"
Gene + Clinical,10,0.6876 ± 0.0285,0.6330 ± 0.0825,"[0.5131, 0.7474]"
"Full HyBINN
(all branches)",10,0.6903 ± 0.0254,0.6521 ± 0.0644,"[0.5322, 0.7634]"
"Baseline CoxPH
(gene)",10,—,0.6697 ± 0.0675,—
"Baseline CoxPH
(clinical)",10,—,0.6588 ± 0.0626,—
"Baseline CoxPH
(combined)",10,—,0.7021 ± 0.0714,—
