pathway_id,pathway_name,mean_abs_ig_attribution,std_abs_ig_attribution,n_seeds,rank_by_mean,se_abs_ig_attribution,cv_abs_ig_attribution,consistency_score,above_mean_floor,rank_by_consistency_filtered
R-HSA-9958863,SLC-mediated transport of amino acids,0.00168,0.00083,10,63,0.00026,0.49367,6.40563,TRUE,1
R-HSA-9825892,Regulation of MITF-M-dependent genes involved in cell cycle and proliferation,0.00091,0.00047,10,232,0.00015,0.51416,6.15035,TRUE,2
R-HSA-9620244,Long-term potentiation,0.00114,0.00059,10,160,0.00019,0.51546,6.13489,TRUE,3
R-HSA-389957,Prefoldin mediated transfer of substrate  to CCT/TriC,0.00256,0.00132,10,20,0.00042,0.51825,6.10189,TRUE,4
R-HSA-168638,NOD1/2 Signaling Pathway,0.00218,0.00116,10,35,0.00037,0.53166,5.94792,TRUE,5
R-HSA-196807,Nicotinate metabolism,0.00186,0.00100,10,54,0.00031,0.53521,5.90851,TRUE,6
R-HSA-9861718,Regulation of pyruvate metabolism,0.00099,0.00054,10,201,0.00017,0.54130,5.84199,TRUE,7
R-HSA-8955332,Carboxyterminal post-translational modifications of tubulin,0.00229,0.00127,10,31,0.00040,0.55355,5.71275,TRUE,8
R-HSA-190872,Transport of connexons to the plasma membrane,0.00268,0.00155,10,16,0.00049,0.58009,5.45135,TRUE,9
R-HSA-9674555,Signaling by CSF3 (G-CSF),0.00099,0.00058,10,198,0.00018,0.58311,5.42311,TRUE,10
R-HSA-8854050,FBXL7 down-regulates AURKA during mitotic entry and in early mitosis,0.001466665,0.000855884,10,89,0.000270654,0.583557912,5.418961163,TRUE,11
R-HSA-3371571,HSF1-dependent transactivation,0.003097981,0.001836304,10,10,0.00058069,0.592742257,5.334996149,TRUE,12
R-HSA-5656169,Termination of translesion DNA synthesis,0.001265316,0.000757657,10,124,0.000239592,0.598789026,5.281121603,TRUE,13
R-HSA-5213460,RIPK1-mediated regulated necrosis,0.00199871,0.001205544,10,46,0.000381226,0.603160856,5.242842982,TRUE,14
R-HSA-9013407,RHOH GTPase cycle,0.001633029,0.000988966,10,69,0.000312738,0.605602037,5.221709091,TRUE,15
R-HSA-9856532,Mechanical load activates signaling by PIEZO1 and integrins in osteocytes,0.001233993,0.000747763,10,131,0.000236463,0.605970109,5.218537368,TRUE,16
R-HSA-5362768,Hh mutants are degraded by ERAD,0.000913076,0.00055762,10,229,0.000176335,0.610704813,5.178078826,TRUE,17
R-HSA-6806667,Metabolism of fat-soluble vitamins,0.002435258,0.001488036,10,26,0.000470558,0.611038407,5.175251875,TRUE,18
R-HSA-9664565,Signaling by ERBB2 KD Mutants,0.001121716,0.000689237,10,164,0.000217956,0.614448957,5.146526204,TRUE,19
R-HSA-917977,Transferrin endocytosis and recycling,0.001877488,0.001160941,10,52,0.000367122,0.618347965,5.114074666,TRUE,20
R-HSA-1296059,G protein gated Potassium channels,0.00104622,0.000647519,10,186,0.000204764,0.618912991,5.109405855,TRUE,21
R-HSA-390471,Association of TriC/CCT with target proteins during biosynthesis,0.001061246,0.000661745,10,176,0.000209262,0.62355524,5.071367309,TRUE,22
R-HSA-389977,Post-chaperonin tubulin folding pathway,0.001916406,0.001233316,10,49,0.000390009,0.643556593,4.913752258,TRUE,23
R-HSA-9860927,"Turbulent (oscillatory, disturbed) flow shear stress activates signaling by PIEZO1 and integrins in endothelial cells",0.001262486,0.000813119,10,126,0.000257131,0.644061581,4.909899537,TRUE,24
R-HSA-982772,Growth hormone receptor signaling,0.001430832,0.000924566,10,97,0.000292373,0.646173631,4.893851296,TRUE,25
R-HSA-70263,Gluconeogenesis,0.001059129,0.000687561,10,178,0.000217426,0.649176012,4.871217669,TRUE,26
R-HSA-110331,Cleavage of the damaged purine,0.002030038,0.001322475,10,42,0.000418203,0.651453381,4.854188732,TRUE,27
R-HSA-73893,DNA Damage Bypass,0.00124603,0.000813293,10,128,0.000257186,0.652706853,4.844866641,TRUE,28
R-HSA-380108,Chemokine receptors bind chemokines,0.00517524,0.003379035,10,1,0.001068545,0.652923361,4.8432601,TRUE,29
R-HSA-8849932,Synaptic adhesion-like molecules,0.000935999,0.000614383,10,221,0.000194285,0.656392621,4.817661807,TRUE,30
R-HSA-76009,Platelet Aggregation (Plug Formation),0.00092477,0.000609861,10,223,0.000192855,0.659472701,4.795160827,TRUE,31
R-HSA-156590,Glutathione conjugation,0.00322471,0.002147679,10,8,0.000679156,0.666006768,4.748116403,TRUE,32
R-HSA-163560,Triglyceride catabolism,0.001203683,0.000807348,10,140,0.000255306,0.67073135,4.714671021,TRUE,33
R-HSA-194068,Bile acid and bile salt metabolism,0.00246009,0.001651324,10,23,0.000522194,0.671245311,4.711061081,TRUE,34
R-HSA-392154,Nitric oxide stimulates guanylate cyclase,0.001070582,0.00072159,10,175,0.000228187,0.674016364,4.691692711,TRUE,35
R-HSA-9749641,Aspirin ADME,0.003255912,0.002207459,10,7,0.00069806,0.677984917,4.664230105,TRUE,36
R-HSA-9640148,Infection with Enterobacteria,0.002416532,0.001666598,10,28,0.000527025,0.689665167,4.585236158,TRUE,37
R-HSA-5339562,Uptake and actions of bacterial toxins,0.002291134,0.001582455,10,32,0.000500416,0.69068656,4.57845547,TRUE,38
R-HSA-210991,Basigin interactions,0.001392139,0.000962166,10,103,0.000304264,0.691142034,4.575438196,TRUE,39
R-HSA-1482788,Acyl chain remodelling of PC,0.001499192,0.001039458,10,79,0.000328706,0.693345591,4.560896763,TRUE,40
R-HSA-75876,Synthesis of very long-chain fatty acyl-CoAs,0.001270138,0.000885675,10,123,0.000280075,0.6973061,4.534992106,TRUE,41
R-HSA-1236382,Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants,0.000993004,0.000693323,10,197,0.000219248,0.698207414,4.529137901,TRUE,42
R-HSA-212676,Dopamine Neurotransmitter Release Cycle,0.001298513,0.000907097,10,118,0.000286849,0.698565703,4.526814937,TRUE,43
R-HSA-389960,Formation of tubulin folding intermediates by CCT/TriC,0.002438401,0.001727643,10,25,0.000546329,0.70851472,4.463249064,TRUE,44
R-HSA-5357786,TNFR1-induced proapoptotic signaling,0.001234555,0.000876359,10,130,0.000277129,0.70985825,4.45480159,TRUE,45
R-HSA-399719,Trafficking of AMPA receptors,0.001549366,0.001106484,10,76,0.000349901,0.714153151,4.42801051,TRUE,46
R-HSA-399721,"Glutamate binding, activation of AMPA receptors and synaptic plasticity",0.001053574,0.00075751,10,181,0.000239546,0.718991014,4.398215832,TRUE,47
R-HSA-499943,Interconversion of nucleotide di- and triphosphates,0.001093114,0.000787992,10,167,0.000249185,0.720868387,4.386761461,TRUE,48
R-HSA-425397,"Transport of vitamins, nucleosides, and related molecules",0.000944632,0.000681737,10,216,0.000215584,0.721695882,4.381731611,TRUE,49
R-HSA-4608870,Asymmetric localization of PCP proteins,0.001673433,0.001210826,10,65,0.000382897,0.723558276,4.370453304,TRUE,50
R-HSA-375280,Amine ligand-binding receptors,0.001444983,0.001049388,10,94,0.000331846,0.72622883,4.354381884,TRUE,51
R-HSA-438066,"Unblocking of NMDA receptors, glutamate binding and activation",0.001490015,0.001087272,10,80,0.000343825,0.729705099,4.33363788,TRUE,52
R-HSA-1638091,Heparan sulfate/heparin (HS-GAG) metabolism,0.001359897,0.000993083,10,110,0.00031404,0.730263527,4.330323976,TRUE,53
R-HSA-6804758,Regulation of TP53 Activity through Acetylation,0.001518175,0.00111356,10,77,0.000352138,0.733485697,4.311301057,TRUE,54
R-HSA-9734009,Defective Intrinsic Pathway for Apoptosis,0.001074292,0.00079061,10,174,0.000250013,0.735935407,4.296950016,TRUE,55
R-HSA-5675482,Regulation of necroptotic cell death,0.001557685,0.001166241,10,75,0.000368798,0.748701783,4.223681221,TRUE,56
R-HSA-390918,Peroxisomal lipid metabolism,0.002015062,0.001513561,10,44,0.00047863,0.751123789,4.210061917,TRUE,57
R-HSA-9864848,Complex IV assembly,0.001161929,0.000881249,10,152,0.000278675,0.758435489,4.1694748,TRUE,58
R-HSA-5260271,Diseases of Immune System,0.002919249,0.002225311,10,13,0.000703705,0.762288937,4.148397683,TRUE,59
R-HSA-877312,Regulation of IFNG signaling,0.001484977,0.001136148,10,83,0.000359281,0.765094313,4.133186728,TRUE,60
R-HSA-9609736,Assembly and cell surface presentation of NMDA receptors,0.002492401,0.00191289,10,22,0.000604909,0.767488893,4.120291107,TRUE,61
R-HSA-201556,Signaling by ALK,0.001236171,0.000950132,10,129,0.000300458,0.76860857,4.114288837,TRUE,62
R-HSA-9830364,Formation of the nephric duct,0.000990077,0.000767746,10,200,0.000242783,0.775440807,4.078038753,TRUE,63
R-HSA-4090294,SUMOylation of intracellular receptors,0.000950649,0.000738221,10,214,0.000233446,0.776544568,4.072242332,TRUE,64
R-HSA-2173795,Downregulation of SMAD2/3:SMAD4 transcriptional activity,0.001044683,0.000817136,10,189,0.000258401,0.782185193,4.04287589,TRUE,65
R-HSA-5602358,Diseases associated with the TLR signaling cascade,0.001475617,0.001158292,10,87,0.000366284,0.784954049,4.028615006,TRUE,66
R-HSA-917729,Endosomal Sorting Complex Required For Transport (ESCRT),0.000901544,0.000710756,10,236,0.000224761,0.788376425,4.011126612,TRUE,67
R-HSA-196071,Metabolism of steroid hormones,0.001451107,0.001167322,10,93,0.00036914,0.804435687,3.931050936,TRUE,68
R-HSA-5620924,Intraflagellar transport,0.002754818,0.002221508,10,14,0.000702503,0.806408367,3.921434584,TRUE,69
R-HSA-977068,Termination of O-glycan biosynthesis,0.001226853,0.000994449,10,134,0.000314472,0.810569119,3.901305374,TRUE,70
R-HSA-9615710,Late endosomal microautophagy,0.00105357,0.000854723,10,182,0.000270287,0.8112638,3.897964708,TRUE,71
R-HSA-8979227,Triglyceride metabolism,0.001383683,0.00112324,10,105,0.0003552,0.811775742,3.895506476,TRUE,72
R-HSA-9918485,Dengue Virus Attachment and Entry,0.00148948,0.001213292,10,81,0.000383677,0.814574053,3.882124222,TRUE,73
R-HSA-8941858,Regulation of RUNX3 expression and activity,0.00089917,0.000736147,10,238,0.00023279,0.818695965,3.862578777,TRUE,74
R-HSA-380972,Energy dependent regulation of mTOR by LKB1-AMPK,0.000972569,0.000798902,10,206,0.000252635,0.821435086,3.849698795,TRUE,75
R-HSA-9933387,"RORA,B,C and NR1D1 (REV-ERBA) regulate gene expression",0.001477951,0.0012176,10,86,0.000385039,0.823842809,3.83844785,TRUE,76
R-HSA-192105,Synthesis of bile acids and bile salts,0.002052759,0.001695333,10,41,0.000536111,0.825880268,3.828978341,TRUE,77
R-HSA-9668328,Sealing of the nuclear envelope (NE) by ESCRT-III,0.002427651,0.0020152,10,27,0.000637262,0.830102653,3.80950193,TRUE,78
R-HSA-5689901,Metalloprotease DUBs,0.001187448,0.000987456,10,146,0.000312261,0.831578058,3.802743023,TRUE,79
R-HSA-9958790,SLC-mediated transport of inorganic anions,0.001456865,0.001213673,10,92,0.000383797,0.833071993,3.795923626,TRUE,80
