covariate,coef,se(coef),z,p,hazard_ratio,hr_lower_95,hr_upper_95
PC1,-0.0008665437527882504,0.0026820798390516922,-0.32308648690138764,0.7466297438318108,0.9991338315878253,0.993895289691307,1.0043999843619542
PC2,0.002101473682234017,0.0036369327770573987,0.5778148266832404,0.5633891440667069,1.0021036833256174,0.9949856992292029,1.0092725884529932
PC3,-8.992235034335723e-05,0.00386892187131121,-0.02324222440627414,0.9814570574885474,0.99991008169255,0.992356353169831,1.0075213085266495
PC4,0.0025512388505248324,0.004702445837714991,0.5425344466624477,0.5874503841412493,1.0025544960297195,0.9933566105443989,1.011837548409288
PC5,-0.0009217292728346826,0.005662708994213018,-0.1627717888693627,0.8706981212220322,0.9990786953891071,0.9880513203576218,1.0102291439872984
PC6,0.017261225374400783,0.006073953392483007,2.8418435669530986,0.004485349421520834,1.0174110612002425,1.005370647221307,1.02959567231601
PC7,-0.008385203866709136,0.007802291831006331,-1.0747103605361583,0.2825044237452723,0.9916498538979663,0.9766004214021077,1.006931198456818
PC8,0.010848380978054193,0.007754240931817785,1.3990255233804123,0.16180532939566633,1.010907438027565,0.9956595159993671,1.0263888727400108
PC9,0.007121481821956374,0.00855284414972595,0.832644871961634,0.40504504414106446,1.0071468998758712,0.9904042432197218,1.0241725889945983
PC10,-0.0007430874821187766,0.011213584493630116,-0.06626672163043743,0.9471654772592445,0.9992571885390108,0.9775344809753783,1.021462616695194
PC11,0.013000042862859166,0.009108911558019692,1.4271785141457032,0.15352844595802123,1.013084910783524,0.9951583350391673,1.0313344121434367
PC12,0.004278443169064032,0.009899148919748304,0.4322031321832883,0.66559378308751,1.0042876087738841,0.9849899029117116,1.023963391051299
PC13,0.016317833684276792,0.01098814567331251,1.4850398028403262,0.1375332806561459,1.016451696659086,0.9947946631286565,1.038580211509955
PC14,0.01581844220209312,0.010837575214819681,1.4595923800798563,0.14440213470799998,1.0159442160660128,0.9945914738106851,1.0377553772941832
PC15,-0.008888402663574161,0.011930607502913974,-0.7450083879972773,0.4562666491031714,0.9911509824108661,0.9682428032355648,1.0146011585639647
PC16,0.023184881990949504,0.011276130230361288,2.05610271585225,0.039772616531071614,1.0234557405917148,1.0010842541183977,1.0463271684085973
PC17,0.012932172859375554,0.012845101326444019,1.006778578908699,0.31404119082315074,1.0130161550403527,0.9878304297812033,1.0388440155665537
PC18,-0.011000737989953754,0.013306107230030067,-0.8267435245919701,0.40838244612918484,0.9890595488590886,0.9635983619590662,1.015193497424085
PC19,0.015411609221064566,0.013247289797319248,1.1633782801508046,0.24467605787877914,1.0155309805166568,0.9895024095916121,1.0422442253725914
PC20,-0.04243095082584338,0.01282116665972696,-3.3094453844925678,0.000934810019489211,0.9584566438758648,0.9346712297362283,0.9828473467071771
PC21,-0.011573037768974124,0.013140449360970292,-0.8807185698952056,0.3784701632449068,0.9884936722388159,0.9633597945630428,1.0142832881035668
PC22,0.04341307961847152,0.014888597025835225,2.915861013844326,0.0035470847443354646,1.0443692133962423,1.014333178344338,1.0752946637023257
PC23,-0.02153442772998335,0.013971877618583331,-1.5412694211794005,0.12325122790759767,0.9786957826149926,0.9522579663292505,1.0058675997226472
PC24,0.004002048309584402,0.013928310900515536,0.2873319197259067,0.7738581842105005,1.0040100671986791,0.9769718490141728,1.0317965825253506
PC25,0.033090071150526874,0.013915622752364088,2.377908034687509,0.017411167712322255,1.0336436365201291,1.0058323931154272,1.0622238601893461
PC26,0.025636980482406424,0.01481130106126718,1.730906716186421,0.08346840356866621,1.02596843429649,0.9966125806965356,1.0561889831223263
PC27,0.006699558612914658,0.015752531348281397,0.4253004463086233,0.6706176682528326,1.0067220508570325,0.9761144814992052,1.0382893675803075
PC28,-0.015710446675206123,0.01553282381524214,-1.0114353231631767,0.3118081220058549,0.984412318651982,0.9548941509430654,1.0148429667903065
PC29,0.04121320483896929,0.01765503607233909,2.3343597073437765,0.019576894738684292,1.042074257136928,1.006631223985253,1.0787652235625351
PC30,0.0281542729904853,0.017178122536307353,1.6389610058362876,0.10122138100862921,1.0285543503376808,0.9945003316731975,1.0637744582937083
PC31,-0.021732609251034856,0.016096945964310806,-1.350107610426171,0.17698146754560684,0.9785018424144639,0.9481120160273637,1.0098657536483187
PC32,-0.018124962124285746,0.018533832541021204,-0.977939240800277,0.3281043756528935,0.9820383070974709,0.9470046515725528,1.0183680037953657
PC33,0.025326945386612447,0.017478914001367793,1.4489999427098568,0.14733759857689924,1.025650397378532,0.9911080433179743,1.061396630503627
PC34,-0.02606438687395474,0.016407456238654163,-1.5885696414383792,0.11215758668975329,0.9742723572377373,0.9434395359207569,1.0061128349377386
PC35,-0.0066593677521973905,0.01736509574714678,-0.3834915654462531,0.7013553229357357,0.9933627566983723,0.9601219652865204,1.0277543917047216
PC36,0.01795784617911076,0.017454271964799702,1.0288510580863313,0.30354966967911223,1.0181200578346479,0.9838788328377739,1.0535529554746916
PC37,-0.024177295529028017,0.016243229346286123,-1.4884537436243213,0.136631272277073,0.9761126340097468,0.9455258747518613,1.0076888424904211
PC38,0.017984627356201655,0.018558067169850093,0.9691002404291292,0.3324951777683049,1.0181473246533337,0.9817788650792474,1.0558629968216584
PC39,-0.02317442483017743,0.01748974275504772,-1.3250294846954824,0.1851613722087952,0.9770920397957692,0.9441650182645309,1.0111673656233386
PC40,-0.030785052751166025,0.019460423216827432,-1.581931307873417,0.1136652528329578,0.9696839815808853,0.9333943652774777,1.0073845087494524
PC41,0.01673408591720918,0.016822310720597804,0.9947554884192813,0.3198551997472382,1.0168748850179274,0.9838934767796336,1.050961873601099
PC42,0.03644021846432902,0.018827283892693555,1.9355005571712154,0.052928900358915607,1.0371123019984034,0.9995388483977508,1.0760981713523243
PC43,-0.03809178062202073,0.01686291898457303,-2.2589078828445324,0.023889115551565598,0.9626245865533272,0.9313286077614377,0.994972222386974
PC44,-0.03203649956426782,0.01877828164881257,-1.706039996811616,0.08800063300161333,0.9684712326560844,0.9334742211974756,1.0047803219238296
PC45,-0.010527875766071684,0.018771628866933357,-0.5608397566721965,0.5749067814725953,0.9895273483505512,0.9537818825243242,1.0266124688195697
PC46,-0.005173995013220075,0.021249125784833137,-0.24349213542295875,0.8076241768393062,0.9948393670439731,0.9542569715901787,1.0371476401908837
PC47,0.02635552897926058,0.020217585811093453,1.3035942681543717,0.19237195602230558,1.026705907296101,0.9868167314507571,1.0682074862340447
PC48,-0.0116622718390479,0.020103836598755302,-0.5801018020495626,0.5618459686052644,0.9884054688606316,0.9502161522608867,1.0281296192967468
PC49,-0.028582030707587948,0.020002236094289604,-1.4289417729524636,0.15302096973131216,0.9718225715831352,0.9344600403579594,1.010678969511287
