covariate,coef,se(coef),z,p,hazard_ratio,hr_lower_95,hr_upper_95
PC1,0.003804622776790807,0.002849304703567782,1.3352811203472956,0.18178435539476845,1.003811869541515,0.9982215688439418,1.00943347737857
PC2,0.004989521361637131,0.0034344699081553477,1.4527777197258953,0.14628547997242497,1.0050019897518208,0.9982594768120266,1.0117900434370817
PC3,-0.002350299531921591,0.003587583083132566,-0.6551205860490853,0.5123901189120902,0.9976524602594877,0.9906619109210651,1.0046923380110795
PC4,-0.00020705149680144732,0.004930055266750873,-0.0419978044055282,0.9665004484050488,0.9997929699368804,0.9901785883795772,1.0095007046870461
PC5,0.004064565153337721,0.005927804857810958,0.6856779618819469,0.4929162068893129,1.0040728367012322,0.992474526874321,1.0158066873276281
PC6,0.017569675848037074,0.006447806175449978,2.724907568551551,0.006431949071672645,1.0177249305280356,1.004944157955749,1.0306682476021745
PC7,-0.0027760966449244463,0.007187563793214108,-0.3862361051383506,0.6993218163897172,0.9972277531480768,0.983277674934719,1.011375745630333
PC8,0.000831858984332475,0.007562344408289054,0.11000014538093211,0.9124092596178306,1.000832205074977,0.9861070739004398,1.015777220574296
PC9,-0.017555442762343176,0.007797707093750867,-2.251359604980831,0.024362770435673108,0.9825977562209646,0.9676943955131133,0.9977306420365546
PC10,-0.0044263867105516575,0.010165399535858937,-0.435436570391293,0.6632455703682348,0.9955833953007934,0.9759435134564305,1.0156185100183115
PC11,0.015276078917539172,0.008799068293437216,1.7361018698914785,0.08254582381559858,1.0153933546210783,0.9980318444256482,1.0330568812681373
PC12,0.007738674406707921,0.009992134049504156,0.7744766401619623,0.43864897705809713,1.0077686953382663,0.9882239782130386,1.0276999604282537
PC13,0.006426467568377378,0.010588600237113199,0.6069232405103476,0.5439018539741077,1.0064471616172084,0.9857749568720308,1.027552873062924
PC14,0.034232240106823054,0.010034261106210906,3.4115357119453797,0.0006459803888039147,1.034824906670264,1.014671676095793,1.0553784171699128
PC15,0.0009675443926539115,0.01136160332603176,0.08515914214651986,0.9321348723824052,1.0009680126147262,0.9789240700650924,1.0235083526051738
PC16,0.016656568605691365,0.010735975073428652,1.551472362013589,0.12078852568749285,1.0167960626657788,0.9956236616614591,1.0384187046412097
PC17,0.0027997117281350877,0.012970435744621481,0.21585332854341913,0.829102077859516,1.0028036345811135,0.977631624144543,1.0286237726904908
PC18,0.005406038019742992,0.011322686158971683,0.47745190000337906,0.6330403644263015,1.0054206770110379,0.9833536801506327,1.0279828694051218
PC19,-0.03945692089279331,0.011338548999754847,-3.4798915534647703,0.0005016167833602709,0.9613113655339804,0.9401832490381209,0.9829142802217025
PC20,0.02023998425316157,0.01207937063974539,1.6755826819788844,0.09381996330560723,1.02044620166371,0.9965703126590988,1.0448941105935778
