pathway_id,pathway_name,mean_abs_ig_attribution
R-HSA-3000170,Syndecan interactions,0.003778669711436309
R-HSA-202430,Translocation of ZAP-70 to Immunological synapse,0.0033817087966606435
R-HSA-168638,NOD1/2 Signaling Pathway,0.002975362173902033
R-HSA-69205,G1/S-Specific Transcription,0.0026756602644040055
R-HSA-73893,DNA Damage Bypass,0.0026084849032464523
R-HSA-389960,Formation of tubulin folding intermediates by CCT/TriC,0.0023662230540139363
R-HSA-190872,Transport of connexons to the plasma membrane,0.002189371237573315
R-HSA-8955332,Carboxyterminal post-translational modifications of tubulin,0.0019373843264228106
R-HSA-9918485,Dengue Virus Attachment and Entry,0.001853564873625366
R-HSA-5213460,RIPK1-mediated regulated necrosis,0.0017945363853803752
R-HSA-912526,Interleukin receptor SHC signaling,0.0016771867464032216
R-HSA-8862803,Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models,0.0016061729309543675
R-HSA-2142691,Synthesis of Leukotrienes (LT) and Eoxins (EX),0.0015685016987811386
R-HSA-5675482,Regulation of necroptotic cell death,0.0015186438149559294
R-HSA-8854691,Interleukin-20 family signaling,0.0015128842891626092
R-HSA-8854050,FBXL7 down-regulates AURKA during mitotic entry and in early mitosis,0.0014774066226921042
R-HSA-5620924,Intraflagellar transport,0.0014364761225231643
R-HSA-70263,Gluconeogenesis,0.001428264231114096
R-HSA-9735869,SARS-CoV-1 modulates host translation machinery,0.0014017918518529288
R-HSA-9619483,Activation of AMPK downstream of NMDARs,0.0013804467074147288
R-HSA-9013407,RHOH GTPase cycle,0.0013374390498200853
R-HSA-9704331,Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function,0.0013325511993595644
R-HSA-9725371,Nuclear events stimulated by ALK signaling in cancer,0.0013182706325814257
R-HSA-380108,Chemokine receptors bind chemokines,0.0012645118263697277
R-HSA-6803204,TP53 Regulates Transcription of Genes Involved in Cytochrome C Release,0.0012604351447398523
R-HSA-9734009,Defective Intrinsic Pathway for Apoptosis,0.0012454823671907591
R-HSA-389958,Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding,0.001234842595936266
R-HSA-9609736,Assembly and cell surface presentation of NMDA receptors,0.0012295142757045268
R-HSA-72165,mRNA Splicing - Minor Pathway,0.0011830292761674875
R-HSA-5173214,O-glycosylation of TSR domain-containing proteins,0.001173624363860919
R-HSA-211976,Endogenous sterols,0.0011302720685104203
R-HSA-176187,Activation of ATR in response to replication stress,0.0011053886692719876
R-HSA-9931510,Phosphorylated BMAL1:CLOCK (ARNTL:CLOCK) activates expression of core clock genes,0.0011020923796463602
R-HSA-5339562,Uptake and actions of bacterial toxins,0.0011010073641727674
R-HSA-390471,Association of TriC/CCT with target proteins during biosynthesis,0.0010613259288932953
R-HSA-389977,Post-chaperonin tubulin folding pathway,0.0010548701627180591
R-HSA-9668328,Sealing of the nuclear envelope (NE) by ESCRT-III,0.0010538565190199316
R-HSA-8983432,Interleukin-15 signaling,0.0010535042081637573
R-HSA-159230,Transport of the SLBP Dependant Mature mRNA,0.0010464511480795826
R-HSA-180585,Vif-mediated degradation of APOBEC3G,0.0010293655315525181
R-HSA-180534,Vpu mediated degradation of CD4,0.0010055092490738103
R-HSA-1538133,G0 and Early G1,0.0009979053683663408
R-HSA-8854214,TBC/RABGAPs,0.0009803317457434135
R-HSA-9929356,GSK3B-mediated proteasomal degradation of PD-L1(CD274),0.000970074472889514
R-HSA-5362768,Hh mutants are degraded by ERAD,0.0009601687089354974
R-HSA-877312,Regulation of IFNG signaling,0.0009538437162246777
R-HSA-9860927,"Turbulent (oscillatory, disturbed) flow shear stress activates signaling by PIEZO1 and integrins in endothelial cells",0.00092540823416432
R-HSA-114508,Effects of PIP2 hydrolysis,0.0009125464076402337
R-HSA-5357786,TNFR1-induced proapoptotic signaling,0.0009033885401390438
R-HSA-9648002,RAS processing,0.0008916019474477282
R-HSA-9856532,Mechanical load activates signaling by PIEZO1 and integrins in osteocytes,0.000891571905697796
