model,seed,n_trainval,n_test,cv_mean_cindex,cv_std_cindex,retrain_mean_cindex,test_cindex,test_loss,mean_best_epoch,boot_mean,boot_lower,boot_upper,boot_std,weight_binn,weight_gene,weight_clinical
binn,0,847,212,0.6616412805267872,0.04062726009269632,0.7920733861606017,0.7649470447557226,2.4535797238349915,10,0.7649462926784484,0.6759703718247849,0.8400034278591462,0.041603306139918445,1.0,,
binn,1,847,212,0.6416567572898854,0.07019020073568202,0.748160278662799,0.6595289079229122,2.424190253019333,8,0.6589317181380537,0.5646910455480051,0.7486088191691319,0.04707510093998651,1.0,,
binn,2,847,212,0.6698761201637774,0.11557164995198031,0.7244517309382945,0.6246730601569311,2.5877217054367065,5,0.6288239672255718,0.47543322196536286,0.7665744954840531,0.07415525585778676,1.0,,
binn,3,847,212,0.6837290258993124,0.04872893947436537,0.7611902130461365,0.6883530482256597,2.3600092232227325,8,0.6899668144881851,0.5887860260650025,0.7936904129597663,0.05158155868906047,1.0,,
binn,4,847,212,0.6657076344679831,0.05112941371858591,0.7931768096518398,0.7457692307692307,2.4027079641819,9,0.7467807273167494,0.6389822669477956,0.840676331424455,0.05252943417474277,1.0,,
binn,5,847,212,0.725357015870675,0.03612988419460638,0.8152767575709675,0.6740858505564388,2.516075521707535,13,0.671850533103259,0.5518033225445959,0.7800751329330063,0.060904946176491545,1.0,,
binn,6,847,212,0.6757648235682719,0.04782141283396944,0.7965893919164948,0.689928628072958,2.5515055060386658,12,0.6910128911360364,0.602514177085687,0.7758968800492094,0.04568556725175054,1.0,,
binn,7,847,212,0.7188056181387289,0.04443332115928002,0.8268190227525675,0.5776344086021505,2.394343852996826,13,0.5772116930245363,0.41464196372732964,0.742296357209909,0.08353545591383216,1.0,,
binn,8,847,212,0.7407465950218058,0.026469161745148746,0.8129708405618002,0.6725274725274726,2.5222671031951904,10,0.6726098967073242,0.5555956401867183,0.7789136527296978,0.05740387872646487,1.0,,
binn,9,847,212,0.7155775384710079,0.03831698672926846,0.8257189596718747,0.6125166444740346,2.477524608373642,11,0.6152766130667594,0.4796141434470315,0.7427692350277064,0.07069857222803434,1.0,,
gene,0,847,212,0.6785431451659084,0.034267591170373306,0.8612527128652906,0.6703108985309191,2.699057310819626,6,0.6691552646945935,0.5653979901148743,0.7671262299727056,0.04956887314500051,,1.0,
gene,1,847,212,0.6492961474177237,0.05839727175185115,0.8678050039741038,0.6441113490364025,2.6195066571235657,7,0.6426083531886807,0.5135108192020098,0.7690693443988252,0.0666130215579406,,1.0,
gene,2,847,212,0.6756896364834086,0.08370119171567317,0.8442551540063836,0.7362685265911072,3.0237719416618347,6,0.7371320523089621,0.6106724108562344,0.8496101241586015,0.06046351102416703,,1.0,
gene,3,847,212,0.6999135436986951,0.05910608815842612,0.8424916521657341,0.6933575978161965,2.444339692592621,5,0.6925413032850742,0.5794157837125198,0.7990667660892508,0.05556738218167682,,1.0,
gene,4,847,212,0.650636246726817,0.07787483134857293,0.8641382071963847,0.6623076923076923,2.873538374900818,9,0.6643310071457135,0.5451782485889064,0.7710289134225726,0.0584153562356083,,1.0,
gene,5,847,212,0.7060491638122125,0.061757044845997526,0.8979523751964221,0.7297297297297297,2.718791663646698,10,0.7284253978159907,0.6031397971946753,0.8321545368262844,0.05999936651137807,,1.0,
